"TICO_CODIGO","CNPJ","CEP","IE","FLAG","SUFRAMA","UF","ENTE_FEDERATIVO"
"03","11.303.619/0001-91","28990000","78913843","","","RJ",""
"03","37.933.274/0003-05","13413075","132547576117","","","SP",""
"03","48.611.275/0001-98","44300000","200980605","","","BA",""
"06","11.653.368/0001-75","37940000","ISENTO","","","MG",""
"06","28.249.026/0001-97","38701130","ISENTO","","","MG",""
"03","47.776.861/0001-20","89217301","261886614","","","SC",""
"03","30.679.393/0001-72","29706040","081121601","","","ES",""
"03","16.832.157/0001-13","16018555","177188343117","","","SP",""
"06","24.835.699/0001-78","01442002","ISENTO","","","SP",""
"03","28.807.137/0001-71","37750000","0030564120073","","","MG",""
"03","06.044.698/0008-08","39508000","3252742550230","","","MG",""
"03","57.171.992/0001-37","13801337","456273619116","","","SP",""
"03","13.752.860/0001-23","45710000","020104481","","","BA",""
"06","79.244.489/0001-05","88020080","ISENTO","","","SC",""
"03","08.652.036/0001-61","13150692","276095069115","","","SP",""
"06","11.544.988/0001-76","54450120","ISENTO","","","PE",""
"06","09.398.447/0001-35","59020200","ISENTO","","","RN",""
"06","42.224.657/0001-82","93611480","ISENTO","","","RS",""
"03","28.517.787/0001-82","29160566","081037210","","","ES",""
"06","33.581.562/0002-06","74210098","ISENTO","","","GO",""
"03","32.502.594/0001-25","35661396","0033582990036","","","MG",""
"06","21.399.573/0001-00","60176065","ISENTO","","","CE",""
"03","06.058.712/0001-48","04753120","148239867110","","","SP",""
"03","54.447.305/0001-75","13255405","382140462110","","","SP",""
"03","45.089.871/0001-61","88200000","261521233","","","SC",""
"03","76.324.094/0001-16","89620000","250878925","","","SC",""
"06","03.416.645/0001-06","20031004","ISENTO","","","RJ",""
"03","11.592.963/0001-48","13213186","407321622114","","","SP",""
"06","06.070.771/0001-31","04830280","ISENTO","","","SP",""
"06","04.422.261/0001-50","09791005","ISENTO","","","SP",""
"03","34.404.590/0003-00","48500000","085233513","","","BA",""
"03","02.916.265/0377-56","19470000","561115503114","","","SP",""
"03","55.874.369/0004-68","22793081","15475242","","","RJ",""
"03","49.559.037/0001-43","14020055","124476015112","","","SP",""
"03","51.318.605/0001-66","09843400","799747475115","","","SP",""
"06","29.797.392/0001-43","03430003","ISENTO","","","SP",""
"03","29.955.133/0001-01","79950000","284292257","","","MS",""
"03","59.789.925/0001-06","18270290","687001862114","","","SP",""
"06","19.157.286/0001-41","45572086","ISENTO","","","BA",""
"03","11.333.410/0001-70","05831000","148889115117","","","SP",""
"03","49.411.385/0001-79","81020670","9098630233","","","PR",""
"03","92.644.483/0001-85","90200230","0963903896","","","RS",""
"06","22.104.101/0001-45","01332000","ISENTO","","","SP",""
"06","33.504.285/0001-57","30180074","ISENTO","","","MG",""
"03","18.351.223/0001-69","09090790","626498720116","","","SP",""
"03","42.829.565/0001-26","81460032","9090189864","","","PR",""
"03","61.585.865/1340-00","54355057","063340402","","","PE",""
"06","07.335.928/0016-52","29900215","ISENTO","","","ES",""
"03","45.679.331/0001-38","14680000","399107357119","","","SP",""
"06","21.930.481/0001-04","30280230","ISENTO","","","MG",""
"06","00.520.237/0001-01","70710100","0735747900180","","","DF",""
"03","00.265.594/0001-62","03152040","114236721113","","","SP",""
"06","54.643.600/0001-05","13256150","ISENTO","","","SP",""
"03","00.459.410/0001-03","06417010","206517780112","","","SP",""
"03","25.243.766/0001-28","74670010","106781839","","","GO",""
"06","58.554.370/0001-50","05006011","ISENTO","","","SP",""
"03","28.486.594/0001-01","63660000","066799376","","","CE",""
"06","01.640.625/0001-80","96204040","ISENTO","","","RS",""
"06","44.868.224/0001-95","03640000","ISENTO","","","SP",""
"06","15.207.477/0001-10","14680000","ISENTO","","","SP",""
"03","08.963.419/0001-50","37138899","0010584630000","","","MG",""
"06","45.032.991/0001-22","57050000","ISENTO","","","AL",""
"06","12.222.945/0001-37","30320570","ISENTO","","","MG",""
"03","73.650.590/0001-71","89245000","252875052","","","SC",""
"03","02.579.915/0001-29","90110020","0001074988","","","RS",""
"06","10.386.063/0001-81","01411000","ISENTO","","","SP",""
"06","26.440.513/0001-07","86050140","ISENTO","","","PR",""
"03","00.233.546/0001-92","09980000","286125129111","","","SP",""
"03","43.336.056/0001-24","04184065","108733889111","","","SP",""
"06","15.159.951/0001-85","04547003","ISENTO","","","SP",""
"06","52.800.581/0001-40","01416001","ISENTO","","","SP",""
"06","48.323.011/0001-39","37501153","ISENTO","","","MG",""
"03","14.503.442/0001-65","13411020","535950082113","","","SP",""
"06","57.345.091/0001-14","75388769","ISENTO","","","GO",""
"03","16.125.437/0001-91","44002000","046727806","","","BA",""
"03","02.290.510/0001-76","86031610","6010728744","","","PR",""
"03","12.304.282/0001-08","65715000","123377951","","","MA",""
"06","55.794.721/0001-02","01407200","ISENTO","","","SP",""
"06","06.047.376/0001-38","90470130","ISENTO","","","RS",""
"06","00.709.873/0001-78","70390120","0732883500100","","","DF",""
"06","18.271.692/0001-78","30130918","ISENTO","","","MG",""
"06","59.457.805/0001-01","88101020","ISENTO","","","SC",""
"06","46.607.458/0001-04","28300000","ISENTO","","","RJ",""
"06","18.845.287/0001-16","37135012","ISENTO","","","MG",""
"03","46.016.473/0001-88","13040010","244041450114","","","SP",""
"03","12.153.939/0001-75","88050500","256182060","","","SC",""
"06","41.246.884/0001-46","20040006","ISENTO","","","RJ",""
"06","05.670.700/0001-07","89700087","ISENTO","","","SC",""
"06","20.867.526/0001-80","89204251","ISENTO","","","SC",""
"03","00.547.721/0002-05","95112133","0290452031","","","RS",""
"03","02.906.161/0001-74","04701100","115360773114","","","SP",""
"06","17.415.445/0001-35","20090908","ISENTO","","","RJ",""
"03","05.321.226/0001-08","15860000","342060991116","","","SP",""
"03","08.963.419/0007-46","29900517","083851038","","","ES",""
"06","31.143.381/0003-53","58402045","ISENTO","","","PB",""
"06","89.485.106/0001-36","99500000","ISENTO","","","RS",""
"03","04.866.799/0001-54","13220205","712244208115","","","SP",""
